TotalDistance,TotalActiveMinutes,Calories
15.0100002288818,324.0,4900
9.14000034332275,396.0,4552
25.2900009155273,552.0,4547
9.98999977111816,444.0,4546
9.23999977111816,415.0,4501
26.7199993133545,351.0,4398
11.7799997329712,416.0,4392
10.6599998474121,398.0,4274
12.0100002288818,298.0,4236
10.5600004196167,318.0,4163
10.8100004196167,301.0,4157
8.13000011444092,404.0,4142
10.3599996566772,293.0,4092
9.81999969482422,299.0,4079
9.67000007629395,284.0,4044
17.5400009155273,436.0,4022
6.42000007629395,324.0,4022
8.09000015258789,359.0,4018
19.3400001525879,345.0,4015
9.07999992370605,368.0,4005
9.84000015258789,274.0,4005
7.17000007629395,388.0,3934
14.3800001144409,323.0,3934
20.3999996185303,404.0,3921
7.42999982833862,408.0,3891
7.34999990463257,405.0,3879
13.2399997711182,482.0,3846
6.65000009536743,335.0,3841
19.5599994659424,313.0,3832
20.6499996185303,336.0,3808
8.73999977111816,339.0,3802
8.25,317.0,3795
18.9799995422363,379.0,3793
7.25,266.0,3788
7.44000005722046,259.0,3787
6.90999984741211,286.0,3784
6.78999996185303,283.0,3783
12.8500003814697,269.0,3763
7.71999979019165,361.0,3727
6.65000009536743,255.0,3721
18.25,309.0,3710
12.2700004577637,483.0,3691
11.6499996185303,490.0,3683
18.1100006103516,317.0,3679
17.3999996185303,309.0,3676
11.4700002670288,273.0,3666
17.6200008392334,321.0,3659
6.11999988555908,350.0,3654
5.59000015258789,245.0,3644
6.05000019073486,236.0,3635
7.3899998664856,276.0,3625
17.6499996185303,367.0,3589
5.21999979019165,228.0,3586
7.42999982833862,291.0,3580
17.9500007629395,344.0,3577
9.57999992370605,342.0,3566
17.1900005340576,362.0,3554
8.86999988555908,380.0,3545
9.34000015258789,322.0,3544
5.92000007629395,298.0,3544
12.2200002670288,391.0,3538
11.8299999237061,371.0,3513
9.42000007629395,242.0,3501
11.1199998855591,305.0,3493
4.80999994277954,209.0,3491
16.2999992370605,286.0,3477
15.7399997711182,292.0,3455
